ID,title,author,read,listened,finishedAt,rating,priority,coverUrl
03bca376-4608-4b41-abae-cd6167a111d1,The Untethered Soul,Michael A. Singer,False,False,,,2,
0545ecb8-18d7-4c67-97ab-735df35eebfa,Frankenstein,Mary Shelley,False,False,,,2,
05a8185a-0486-4989-956d-01495e80bd25,Rumo & Die Wunder im Dunkeln,Walter Moers,True,False,,4.0,2,
06b9a21a-b35c-4d81-95ac-4615f946510e,Fifth Business,Robertson Davies,True,False,,4.0,1,
0728c080-5878-4118-b12f-9a2da5933757,Clean Code,Robert C. Martin,False,False,,,2,
08d2abea-5e75-4e69-8789-2245b650c470,The Billionaire and the Mechanic,Julian Guthrie,False,False,,,2,
0c2b45a3-2912-43ef-b001-215256dd794f,Endurance,Alfred Lansing,False,False,,,3,https://covers.openlibrary.org/b/id/542833-M.jpg
0da92436-3cd7-4cae-b3e8-ac54752cf26c,Anna Karenina,Leo Tolstoy,False,False,,,3,https://covers.openlibrary.org/b/id/7740257-M.jpg
1121edf3-d5ff-4857-835c-aaae11f67744,Notes from Underground,Fyodor Dostoevsky,False,False,,,3,https://covers.openlibrary.org/b/id/6908257-M.jpg
14e361fa-7111-4275-9365-f00bcc82c5b9,Hagakure,Yamamoto Tsunetomo,False,False,,,3,https://covers.openlibrary.org/b/id/874678-M.jpg
1533b390-cbd5-4a28-bdff-198ad3a2a07e,At Last a Life,Paul David,False,False,,,2,
157b3cdb-d676-4662-bad0-e83c406ee580,Atomic Habits,James Clear,False,True,,,1,
15a53a17-5dbd-40a2-8d60-1477c53b8614,Calculus,Michael Spivak,False,False,,,2,
15a84688-60a0-4859-833a-c8ba323a29f4,Surfaces and Essences,Douglas Hofstadter,False,False,,,2,
1699b956-7da5-4ac9-9dca-e64bd0080470,The Pocket,Thich Nhat Hanh,False,False,,,2,
170ce46f-2c40-43d7-b1f9-28e28b54fba2,Transformer,Nick Lane,False,False,,,2,
1a9ad3f3-3dcd-4426-8bcf-1882a89f501a,The Psychology of Invention in the Mathematical Field,Jacques Hadamard,False,False,,,2,
1b3ea8e0-2aa0-4aad-8e45-ac9c944ecf05,Ubik,Philip K. Dick,False,False,,,3,https://covers.openlibrary.org/b/id/5018327-M.jpg
2062152d-8c4d-4126-8d47-4d80d9ff00fc,To Mock a Mockingbird,Raymond Smullyan,False,False,,,3,https://covers.openlibrary.org/b/id/13321122-M.jpg
247ce455-ee9f-42da-9f67-0eab6f849d1b,Man's Search for Meaning,Viktor Frankl,False,False,,,4,https://covers.openlibrary.org/b/id/11203708-M.jpg
2538fa73-02ee-42d0-a240-2b867b89edac,Diaspora,Greg Egan,False,False,,,2,
25ace1ae-2973-4603-9a12-a196eda6cd89,Thinkertoys,Michael Michalko,False,False,,,2,
26213e41-f9f1-4848-80d6-dc5f9c3b4301,The Fiat Standard,Saifedean Ammous,False,False,,,2,
2691bbb4-607a-4a32-be9d-1cc11e1d7d13,Die 13½ Leben des Käpt'n Blaubär,Walter Moers,True,False,,5.0,1,
288c74ba-3ac0-4eba-b05a-71a2410eab4c,The Myth of Sisyphus,Albert Camus,False,False,,,3,https://covers.openlibrary.org/b/id/12726570-M.jpg
2974cd24-69a0-4b1a-8298-7be675cdc52c,The Road to Reality,Roger Penrose,False,False,,,2,
2b32f341-944d-452d-9fa5-ce282711cc5a,Infinite Jest,David Foster Wallace,False,False,,,3,https://covers.openlibrary.org/b/id/8237639-M.jpg
2b341f09-9c76-47d8-8d2b-3ec00f66e95c,How to Build a Car,Adrian Newey,False,False,,,2,
2c18ae14-985e-429c-948b-83f3ef082b02,The Second Machine Age,Erik Brynjolfsson,False,False,,,2,
2c20f0c3-2b39-40a5-bc82-c352ffc0c5d3,The Metamorphosis of Prime Intellect,Roger Williams,False,False,,,1,
2cffee8a-ba0a-496e-813d-56e8dc154f05,Consider Phlebas,Iain M. Banks,True,False,,3.0,1,https://covers.openlibrary.org/b/id/1009644-M.jpg
2ec67eb4-623b-44a1-87c4-5cd7a7f066ef,My Big TOE,Thomas Campbell,False,False,,,1,
30535e76-387c-4877-b416-2165665d7078,Make Time,Jake Knapp,False,False,,,1,
31d6db7b-8807-4db8-9127-d2e7a506a46a,Justice,Michael Sandel,False,False,,,2,
32b823a4-6eff-4b11-9d1b-3d9b747bb65d,The Bible,Anonymous,False,False,,,2,
34330820-d593-4ec5-b7d7-d95e3f861535,Dhammapada,Ancient,False,False,,,2,
34ef24df-6c5c-44b6-848e-69cd1a866146,The Creative Act: A Way of Being,Rick Rubin,False,False,,,2,
37d28df0-1baf-45d8-990d-9a305cc2ad47,Why Greatness Cannot Be Planned,Kenneth O. Stanley,False,False,,,2,
39276fb7-0ef4-4659-9f0b-cc1380ccb0e1,Book of Enoch,Ancient,False,False,,,1,
3a15c88a-9245-4ece-9193-25d7206be2e1,Dune,Frank Herbert,False,False,,,5,https://covers.openlibrary.org/b/id/6976407-M.jpg
3db6dce7-57fc-46ab-be55-16554868f434,Autobiography of a Yogi,Paramahansa Yogananda,False,False,,,3,https://covers.openlibrary.org/b/id/805448-M.jpg
3e813ae7-2422-4c9f-94ee-bcbaf07af12b,Flow,Mihaly Csikszentmihalyi,False,False,,,2,
46e7f550-fbeb-4a08-b0fa-676180047bdf,Search Inside Yourself,Chade-Meng Tan,True,False,,3.0,1,
47561706-9e57-4501-a84c-751f1b3ad8ef,The Road to Serfdom,Friedrich Hayek,False,False,,,1,
4800e22f-73e5-458a-b98b-466f70f8197c,The Code Book,Simon Singh,False,False,,,2,
484ab4ba-674b-45fe-a372-38f5ff65c9c0,The Brothers Karamazov,Fyodor Dostoevsky,False,False,,,2,
48cce32c-fefd-45d8-8687-fd134c6ca63d,The Quran,Anonymous,False,False,,,2,
4f9472f9-f854-4c8d-a47a-b21ed89ad731,Build a Large Language Model from Scratch,Sebastian Raschka,False,False,,,3,https://covers.openlibrary.org/b/id/15225524-M.jpg
50965173-194a-4f27-a004-2401c3d3df2e,The Player of Games,Iain M. Banks,False,False,,,3,https://covers.openlibrary.org/b/id/44077-M.jpg
537c5c99-d95e-404c-b289-881d6663c265,Snow Crash,Neal Stephenson,False,False,,,3,https://covers.openlibrary.org/b/id/392508-M.jpg
547615c7-d831-4017-b347-0fcec58ccd44,The Art of Computer Programming,Donald Knuth,False,False,,,2,
54b1d210-0372-4070-9c25-8cb0e953eadc,I Am a Strange Loop,Douglas Hofstadter,False,False,,,3,https://covers.openlibrary.org/b/id/298651-M.jpg
54c6794d-a2a0-427d-b595-cff977f7fbff,A Programmer's Introduction to Mathematics,Jeremy Kun,False,False,,,3,https://covers.openlibrary.org/b/id/8777578-M.jpg
57fea352-c4d3-4707-afda-7683bf342163,The Incredible Voyage,Tristan Jones,False,False,,,2,
586cd3c0-9e18-47fa-9d57-9d9b907256de,Shape,Jordan Ellenberg,False,False,,,2,
59e3939d-2eac-4ba8-bbd2-12d250396403,The Art of Doing Science and Engineering,Richard Hamming,False,False,,,2,
5a108894-cc01-45b2-b93c-63ecb3d8b031,Foundation,Isaac Asimov,True,False,,3.0,1,
5c94e029-814c-4c09-a172-a4537f6ad82a,Concrete Mathematics,Ronald Graham,False,False,,,2,
5e75572f-225f-4fc2-adea-ff378f23e447,Discipline and Punish,Michel Foucault,False,False,,,3,https://covers.openlibrary.org/b/id/5539160-M.jpg
5e7cb25b-370e-42d4-a1b6-9236b8a1572e,Blown Away,Herb Payson,False,False,,,4,
60a80993-149c-40dc-832a-88f25ea5c755,Gravitation,Charles W. Misner,False,False,,,2,
64e7cde3-6bd6-47c5-bdba-16ea830d6f9d,Zero,Charles Seife,False,False,,,2,
677b01d4-b913-423c-bbc2-a59491f3e025,The Mathematical Theory of Communication,Claude Shannon,False,False,,,2,
694fe76b-df98-4ebd-8d42-7a7f7838c690,That Hideous Strength,C.S. Lewis,False,False,,,1,
69962450-aa34-4751-a85b-32882126a537,Data and Reality,William Kent,False,False,,,2,
69c55a9b-1132-41d8-b762-3cc72615660c,The Stranger,Albert Camus,True,False,,3.0,1,https://covers.openlibrary.org/b/id/9173884-M.jpg
6cc77abd-9007-4042-8da8-fba47633e5c1,The Sovereign Individual,James Dale Davidson,False,False,,,2,
6f56b9fa-879a-4024-9ca2-be5f3ab8e7b9,Why Machines Learn,Anil Ananthaswamy,False,False,,,2,
